tweet_id,text,intent,expected_action,label_reason
1466074,"@AmazonHelp ça marche, je vous tiens au courant ! Merci ;)",,,
348798,@AmazonHelp Yes I had received an email.,,,
2809413,@AmazonHelp Ok I sent an email to customer service...what do I do next?,,,
430641,@AmazonHelp E vado alla posta 3 ore rispedisco il pacco in Cina a spese mie e poi aspetto il rimborso chissà quando??? Anche no ! Che fregatura,,,
437297,"@AmazonHelp Si, se supone que llegaba hoy. Todo el día esperando en casa estoy.",,,
1770464,"@AmazonHelp realmente no encuentro útil esa información, pese a que me dice que liga seguir, sigue sin haber forma de descargar la factura.",,,
2626661,"@AmazonHelp Is January 17, 2018 the deadline or the exact date?",,,
1246387,"@AmazonHelp Thanks, sent an email.",,,
1633265,@AmazonHelp I mean if you can get it hear today that would be quite lovely 😂 But maybe it will be here tomorrow or Tuesday.,,,
2900954,@AmazonHelp Gracias 😊,,,
1745012,"@AmazonHelp Another deadline of urs expired, 3rd in a row!!! YOU HAVE NOT ADDRESSED MY ISSUE... NOT EVEN CONTACTED ME,, EVRYTIME I HAVE TO GIVE A CALL!
PATHETIC.. #AMAZONSUCKS",,,
2399564,@AmazonHelp Good part is. Supervisor here was helpful. He helped me track package and delivered it. if i wouldn't have come. I wud have got it on monday,,,
1385711,@AmazonHelp From Amazon directly and shipped through shop and ship. Website: .com,,,
2913217,@AmazonHelp The track your return and refund is not an option!! The issues I’ve had previously with another item and now with this is pretty awful!!,,,
1655181,@AmazonHelp Guys at Amazon offered any sort of warranty for that type of thing or would I have to contact Marshals directly.,,,
1673487,@AmazonHelp There's over 90 mins of recorded conversations over 2 days!,,,
342963,"@AmazonHelp Anyways, leave it now, haven't got any time to deal with your support and delivery service. I have cancelled the order. It's always better to visit a market and buy stuff then to get frustrated with your services.",,,
1313041,"@AmazonHelp Book my show coupen??
I'm supposed to get 100 rs cashback in amazon pay
No??",,,
2859765,"@AmazonHelp Time to declare war, I think.",,,
1742664,"@AmazonHelp That would be brilliant, thank you KN!",,,
651447,"@AmazonHelp Merci. Cependant normalement, la livraison express est supposément plus rapide que la livraison dite rapide :)",,,
801663,"@AmazonHelp I've paid for Prime, yet the content still isn't available. It's like you want me and countless others to pirate the episode.",,,
1736203,@AmazonHelp 5th advice - nope it’s not coming today but should come tomorrow,,,
2662725,@AmazonHelp I guess maybe my internet was bugging out for a bit. It's working now!,,,
390795,@AmazonHelp Also see it. What does your team do.,,,
2318580,"@AmazonHelp Génial, donc je patiente chez moi un jour entier pour recevoir peut-être, ou pas vu que vous savez pas où il est, mon colis. 
Et ""un retard"" = 3 jours de retards hein.",,,
726968,"@AmazonHelp commande d'un ami, 27/09. on veut lui faire payer le retour en angleterre, je gere ça avec lui. pour l'instant Amazon est de mauvaise foi.",,,
1830699,@AmazonHelp This doesnt suits your company. Being a leading online store this should not be done. I dont know any thing me my money back,,,
589990,@AmazonHelp Chèque cadeau que j'ai insérer,,,
878794,@AmazonHelp my Order # 403-0554005-7221167..,,,
668472,"@AmazonHelp guys it is so sad that still the return pickup is not done for more than 20 days since scheduled?? isn't there anyone at @115850 who listens please please @115851 , contacted numberous times to customer support email and over chat : (  Please @115821",,,
792728,@AmazonHelp  https://t.co/oOtP6f1FAU,,,
2756053,@AmazonHelp Why would I reset a fully loaded tablet that otherwise works fine? Why do I have to lose all that data because your product and app are poor?,,,
1706568,@AmazonHelp @517197 And where is the first of two tweets (1/2) ????,,,
918162,@AmazonHelp no one has contacted me yet f ur end... this is wt i cal ridiculously slw CC team i need the prduct tdy by ny means @119356 @115850,,,
480450,@AmazonHelp Pls reply me ASAP..thanks,,,
173466,"@AmazonHelp I fucking take that back shit awrful crap customer service, time to contact trading standards now about this.",,,
549528,@AmazonHelp After 10mins they said they have managed to refund me but now I’m getting updates saying it will be delivered soon 🙈😩,,,
986969,"@AmazonHelp Il y en a 2 qui sont en stock:  https://t.co/smFkJ3I6Qf

https://t.co/xJ1JqcuZPW",,,
572862,@AmazonHelp No. There was no reasoning given as to the delay. It was supposed to have been expedited and delivered today since it was lost previously For an unknown reason. I can DM details of its easier?,,,
2925486,"@AmazonHelp It did not, but a replacement has been scheduled to be sent on Friday. I have my fingers crossed here that this was an isolated incident and not a mailman with sticky fingers. :o",,,
2621001,"@AmazonHelp I have not been in contact with support yet, but if there is anything they could do to help, I would seriously be SO grateful!",,,
2281069,@AmazonHelp Yeah. Tried that already.,,,
639614,@AmazonHelp I have spoken with your customer service agents and they are not helpful. They can’t tell me where it is or when it’s coming.,,,
121088,"@AmazonHelp What about trying to find out what exactly is going on? This kind of answer is even more disappointing than the actual issue. Seems nobody cares and I only get textbook answers from your support. Sure you can do better, no?",,,
332048,@AmazonHelp Alternativ einfach Hermes als Zulieferer ausschliessen bei Prime Produkten,,,
1808311,@AmazonHelp No cause you guys have a great track record of being fantastic. So I do not know where to reach out.,,,
346727,@AmazonHelp Thanks and you too!!,,,
2566958,@AmazonHelp I have shared all the possible details with you over the link. Hope to see some conclusion ASAP.,,,
166479,"@AmazonHelp Bonsoir, oui il s'agit de Chronopost",,,
2392669,@AmazonHelp Merci pour lui 😍 né l'année des L : Lasco. Cravate de chez Amazon 😜.  Le tient il répond à quel prénom ? 😊,,,
2170925,@AmazonHelp Pero en la de Banamex por alguna razón se cancela la promoción,,,
2850643,@AmazonHelp @792653 I saw this good PR @AmazonHelp 👍Hope they get your sorted @792653,,,
288115,@AmazonHelp @115850 @AmazonHelp - i was expecting a courteous response fron amazon.. unfortunate first failed in guaranteed delivery and now response.,,,
558400,"@AmazonHelp Obrigada, pode deixar😘😀",,,
2768983,@AmazonHelp I have cancelled it! Ages ago. And still been charged?,,,
1014793,@AmazonHelp Tell me if he could done anything physically who us responsible when he dont fear giving me threat call misbehave over late night call,,,
476164,"@AmazonHelp That's why its worst , that's my 1st order . Thanks but you need to learn something from @118702 about replacement or  how can you make true your tag line ""A Customer Centric Company"". Turn your logo arrow to downward because the smile that you are showing its not true.",,,
2822410,@AmazonHelp 180030009009 it's not working,,,
989729,@AmazonHelp continua iniciando sozinho.,,,
400824,@AmazonHelp No need of fake internal circulation. Will provide legal notice of consumer forum,,,
1267112,@AmazonHelp Hat geholfen😁 Dankeschön!😌,,,
1210710,@AmazonHelp There's no details about iphone 8 quiz last month. Winner annouced date is 25th oct @115850 #Amazonindia ??,,,
2486989,"@AmazonHelp Entiendo, mil gracias por las atenciones.",,,
1268238,"@AmazonHelp Je demande à annuler la commande pour être remboursé, on m'indique simplement qu'elle ne l'est pas, sans explication. Vous cumulez.",,,
528248,@AmazonHelp Thank you! I never knew that page even existed 😘 I’ve left some feedback,,,
461325,"@AmazonHelp Says ""estimated delivery Nov. 30 to Dec. 2."" Before today, though, it said Nov 30 for sure.",,,
2367280,@AmazonHelp Sorry but it’s saying I have no recent orders ... I definitely have had lots recently 🤷🏼‍♀️. https://t.co/7qMHRtXhGW,,,
2827218,@AmazonHelp @787478 @787478 lol tu vas te retrouver avec 2M d'abos en moins de deux.,,,
20760,@AmazonHelp Did not arrive. Please could you confirm which day it is. https://t.co/3NEPf3QAyG,,,
494814,@AmazonHelp Did it come up?,,,
2371370,@AmazonHelp Is it normal for refunds to take a while to process? How long should I wait until I reach out again?,,,
2867205,@AmazonHelp Ok thanks. I canceled my order. I can’t risk not having Christmas gifts not arrive in time.,,,
2379688,"@AmazonHelp Hahahaha quero esse gato pra mim! Sim, aproveitei, daqui uns dias chegam mais 4 livros pra estante 🤓",,,
1213318,@AmazonHelp It was meant to arrive yesterday. Order confirmation was Sunday night.,,,
955053,@AmazonHelp Je pense que le #Firetvstick a un défaut je contact le help desk demain pour un échange... Il recommence à démarrer en boucle....,,,
1337233,"@AmazonHelp Thanks, i called the number. But i unfortunately cant access here on my amazon app. Pls make it more simple @115830",,,
1125348,@AmazonHelp Already Shared The Details....,,,
2894530,"@AmazonHelp Yes, the renewal fee. Why not send a little message saying ""hey, just a heads up, we're taking $100 from you tomorrow""",,,
1632178,"@AmazonHelp Já entrei... meu e-mail deve ter cai do dentro do  "" buraco negro"" onde ta o livro que vocês me enganaram! @105018",,,
218025,@AmazonHelp Its the professional seller account that I didnt ask for in the first place . Ya ya im sure you have it inthe fine print of the subscription,,,
915047,"@AmazonHelp Tres días después de lo pactado, el producto llegó.",,,
301822,@AmazonHelp Thanks - any kind of ETA on a fix for this?,,,
27360,@AmazonHelp I've been on hold to your help centre for 25min!!! JOKE https://t.co/1RLPKPokJl,,,
2884152,@AmazonHelp It just arrived,,,
866121,@AmazonHelp Yes ...even  customer service escalated the matter at 12:00pm ..it's almost 6hrs @AmazonHelp,,,
2148019,@AmazonHelp Eran dos productos de dos vendedores diferentes gestionados por Amazon con día de entrega el martes 16/10,,,
2901135,@AmazonHelp Yo amo a @7341 escúchenlos son buenísimos!,,,
1476907,@AmazonHelp Can I purchase a UK version of the Call of Duty: World War 2 digital deluxe edition through the website?,,,
2837038,@AmazonHelp on my orders page on https://t.co/MMdu1mKCqR,,,
689495,"@AmazonHelp Sorry jk, i meant. Sucks as in suction cups to my heart.",,,
490605,"@AmazonHelp Another example: ordered an in-stock Prime item on 11/28 which won't arrive until 12/2. That's a five day turnaround. Ordered on 11/28, shipped on 11/30. I'm paying EXTRA for Prime service.",,,
2843722,"@AmazonHelp Würde ich ja gerne, jedoch sitze ich im Ausland und da wird mir telefonieren echt zu teuer.. Und Livechat funktioniert nicht.",,,
898735,"@AmazonHelp In that email u r asking to provide same details again and again. 
Dont know why u r playing double game with me. 
Mobile no. is login id.",,,
1279625,@AmazonHelp spedizione che sarebbe dovuta arrivare il 13 e che non è ancora arrivata e Bartolini che è gestito da una massa di incompetenti,,,
1412352,@AmazonHelp I did. Finally resolved after jerking me and UPS around - supervisor stating they UPS could return which they couldn’t. (Its “iain” btw).,,,
2013711,@AmazonHelp He could just be the first Headless Horseman of the Apocalypse 😈🐴 Looks that the second one is almost here!! 😱 https://t.co/Tv9GsaL90o,,,
2983647,@AmazonHelp That’s kind of my fault. Should have gone to a physical store and take care of delivery myself ;),,,
2212131,@AmazonHelp My e mail id patelelectronic99@rediffmail. com but not solve problam last 13 days pleas.... Solve quick,,,
298973,@AmazonHelp How many customers you lose as you know you'll have millions more. It's a shame really 👎🏻,,,
1720092,@AmazonHelp But wat about the different price from user to user on exactly same time. Check the time stamp on screen shot. https://t.co/Sy3mvMwmdG,,,
1528651,@AmazonHelp Ja habe ich.,,,
1551758,"@AmazonHelp I don’t have time now. I have to go out to buy the item @115821 said would be delivered 2 weeks ago. 
Will have to wait til later.",,,
2752576,"@AmazonHelp Gracias por la respuesta, fue vendido por Amazon, saludos. https://t.co/yxxtOEEjDJ",,,
388348,@AmazonHelp Mon compte est supprimé. Me reste que mon compte perso,,,
381419,@AmazonHelp Hi.   The service centre is not cooperating and not responding on service denial letter too.  Handset is being moved from one centre 2,,,
318261,"@AmazonHelp No, BBC6 Music!",,,
402192,@AmazonHelp Well thanks for that given I wasted an entire day waiting in for it so it can possibly be deivered 24h late!,,,
1480104,@AmazonHelp Also kein Abo etc. ?,,,
1356339,"@AmazonHelp hi, I ordered a package with amazon prime and expected it to be delivered today. I need it for tomorrow morning.",,,
1022896,@AmazonHelp I clicked it? So now what? I logged in,,,
422452,@AmazonHelp Tried calling customer care and nobody picking up. Tried 5 times. Wrote 2 emails from Amazon app order section. No reply. Pathetic,,,
1054086,"@AmazonHelp Per the there was delay on the truck on 10/12, no one can tell me why. Also the truck was going about 20 miles for 3 days",,,
1466808,@AmazonHelp @460455 Yes please help me i need your support,,,
1323522,@AmazonHelp Again same issue with the same product.. I want to buy that tripod. Bt the offer is misleading.,,,
2418550,@AmazonHelp Merci 👍🏼j’espère que cela servira ! 🙏🏼😩,,,
804815,@AmazonHelp I'm 89143.,,,
1735442,"@AmazonHelp @17786 this would result in losing  customers.
Trust me an aware of the process. Worked with FedEx CS &amp; I stopped the RTS &amp; delivered",,,
2251911,@AmazonHelp Details filled,,,
2774208,@AmazonHelp I presume amazon logistics since it says left depo 4:30 am Stretford.,,,
547952,@AmazonHelp it has missed the delivery date i paid for it to be delivered today and it hasnt turned up.,,,
1482903,@AmazonHelp Got a defective product and my account is block no way to contact you and i called so many times and even rqstd for cl back bt still no response,,,
279693,@AmazonHelp Here you go https://t.co/Gqo8KbYZ4Q,,,
2388856,"@AmazonHelp Thanks. Very strange, it's saying I haven't placed any orders (which I have)",,,
2600820,@AmazonHelp Justement c'est là le problème ! C'EST TOUJOURS PAS EXPÉDIÉ ! Prévue pour une livraison aujourd'hui ! C'est pas la première fois que vous respectez pas vos délais !,,,
1698717,@AmazonHelp It was crappy Lasership. Who else would it be?,,,
2142878,@AmazonHelp I can’t even get acces to my account,,,
338144,@AmazonHelp merci pour votre vitesse de réponse !,,,
1912717,"@AmazonHelp I did and got told a load of crap, if my game is not in tommorow, i will cancel all orders.",,,
2531112,@AmazonHelp ちなみにプライム作品のリクエストとかはどこかでできるのですか？,,,
453387,@AmazonHelp Ooooo yes they have it still doesn’t help when you were expecting delivery!!!!!,,,
2187385,"@AmazonHelp I do appreciate the attention to the matter, but $10 isn't the fix I needed. I am looking for assurance they can actually drop items at door",,,
1370170,@AmazonHelp I ordered an item Monday morning for 1-day shipping for a trip this weekend. It says it’s gonna be delivered today by 8PM and ...cont.,,,
182818,@AmazonHelp *n'ai rien dit la a force ..... j'en ai marre de payer pour rien 😔,,,
1560577,"@AmazonHelp Another Very Big Ecommerce website is cheating customers by fake product. I am a sufferer. Can u gve abt ur prdcts, so that i cn use Amzn.",,,
1456360,@AmazonHelp Everything is done. infact 5-6 tickets raised and 7-8 calls done with your representatives and still the same. Just for a IMEI mismatch.,,,
466619,"@AmazonHelp I have already several times, check my emails to amazon. I was cheated, so I want strict action against the seller, I am not interested in refund. Make it sure that seller doesn’t cheat others in future",,,
1315548,"@AmazonHelp Ich weiß nicht, was mit @116316 passiert ist, aber so geht es bei aller Liebe nicht weiter.",,,
1267678,@AmazonHelp @115850 thanks for help. i got my phone today. well appreciated.,,,
1773528,@AmazonHelp I have tried contacting you on same can you check the case log..,,,
1291002,@AmazonHelp done it and sent an e-mail for the refund. thanks!,,,
2870709,@AmazonHelp Compre o Paperwhite e ja comprei a promo do unlimited ✌🏼,,,
280711,@AmazonHelp I have placed an order for MotoG5s plus with exchange with Karbonn smart phone.Your website n app does not allow me to proceed with exchange,,,
530060,"@AmazonHelp It's been 24 hours now ! And no reply from you People
@115850",,,
1062297,"@AmazonHelp How would i know who the carrier was? They didn't bother to check if i was home which I was, alll day.",,,
1786114,"@AmazonHelp It's not my job to police your carriers.  

That's Amazon's job.

Your carrier in my region is bad.  You offer 1-day delivery, your carrier of choice isn't able.

Fix it.",,,
2254625,@AmazonHelp My second claim doesn’t show up in my orders so I can’t appeal it. Chat dude said it was because it was ‘filed manually’,,,
394453,@AmazonHelp I am unable to login at any amazon website. My amazon pay stuck,,,
424025,@AmazonHelp Yes I did as I had previously phoned to attempt to unlock the amount.,,,
816932,"@AmazonHelp Yes! And since I'm abroad, I can't give my india number to call me",,,
1473296,@AmazonHelp おお、公式からのリプありがとうございます！:-),,,
341458,"@AmazonHelp Heyho, danke dafür. Leider besteht das Problem weiterhin.",,,
1125289,@AmazonHelp The order is in Bangalore since Sunday and you guys r not able to deliver it in Bnglr itself completely frustrated now. Didn't Expected dis,,,
1346581,@AmazonHelp Si ya lo recibí,,,
701386,@AmazonHelp @115850 again late. what did u do? shame. you guys should really stop fooling others. https://t.co/awdDgE7YrA,,,
2483741,"@AmazonHelp We don’t have a problem with Amazon, that’s not the issue! We love it &amp; are AmazonPrime members! It’s our Sunday @118706 that’s the problem!😡",,,
1477426,"@AmazonHelp Done that, I'm appaled by the services you offer, if I compare you with flip cart they are the best, so just stop boasting abt you being",,,
593357,@AmazonHelp Sim. É ótimo!,,,
1428942,@AmazonHelp the screen goes black https://t.co/I3VB4CcDsi,,,
2760325,"@AmazonHelp The globalite shoes has not been returned due to your careless pickup,
I just want my refund.",,,
516661,@AmazonHelp Will do. But still not satisfied that an item that was guaranteed to be delivered on 12/1 was not delivered on 12/1. What does @115821’s guarantee mean?,,,
